School Code,School Name,School Type,Town,State,Grade,District Name,District Code,PK_Enrollment,K_Enrollment,1_Enrollment,2_Enrollment,3_Enrollment,4_Enrollment,5_Enrollment,6_Enrollment,7_Enrollment,8_Enrollment,9_Enrollment,10_Enrollment,11_Enrollment,12_Enrollment,SP_Enrollment,% First Language Not English,% English Language Learner,% Students With Disabilities,% High Needs,% Economically Disadvantaged,% African American,% Asian,% Hispanic,% White,% Native American,"% Native Hawaiian, Pacific Islander","% Multi-Race, Non-Hispanic",% Males,% Females,Average Class Size,Number of Students,Salary Totals,Average Salary,FTE Count,In-District Expenditures,Total In-district FTEs,Average In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Average Expenditures per Pupil
8100605,Bristol-Plymouth Vocational Technical,Public School,Taunton,MA,"09,10,11,12",Bristol-Plymouth Regional Vocational Technical,8100000,0,0,0,0,0,0,0,0,0,0,345,328,311,319,0,3.2,0.2,18.8,38.4,26.2,2.9,0.7,6.4,86.4,0.5,0.0,3.1,57.7,42.1,17.4,1293.0,8434845.0,80716.0,105.0,22952096.14,1306.5,17567.62,22978896.14,1311.9,17515.74
4280305,Brooke Charter School,Charter School,Roslindale,MA,"K,01,02,03,04,05,06,07,08,09",Brooke Charter School (District),4280000,0,178,182,183,191,191,184,187,139,105,68,0,0,0,0,36.9,6.7,8.9,56.2,45.4,54.5,1.9,35.8,5.4,0.4,0.0,2.0,48.8,51.2,18.9,507.0,,,,,,,,,
4320530,Cape Cod Lighthouse Charter School,Charter School,East Harwich,MA,"06,07,08",Cape Cod Lighthouse Charter (District),4320000,0,0,0,0,0,0,0,80,83,80,0,0,0,0,0,0.8,0.8,13.2,25.1,14.4,1.2,1.2,4.5,87.7,0.0,0.0,5.3,42.8,57.2,29.6,240.0,,,,,,,,,
8150605,Cape Cod Region Vocational Technical,Public School,Harwich,MA,"09,10,11,12",Cape Cod Regional Vocational Technical,8150000,0,0,0,0,0,0,0,0,0,0,160,151,161,149,2,4.3,2.9,27.3,54.9,35.8,5.1,1.0,10.4,76.2,2.1,0.2,5.0,62.4,37.6,13.3,643.0,4980425.0,68981.0,72.0,15543881.52,633.1,24552.02,15553881.52,635.1,24490.44
6350005,Becket Washington School,Public School,Becket,MA,"PK,K,01,02,03,04,05",Central Berkshire,6350000,23,15,15,19,20,15,18,0,0,0,0,0,0,0,0,0.8,0.0,21.6,41.6,27.2,0.0,0.0,0.0,96.8,0.0,0.0,3.2,56.0,44.0,16.2,116.0,9712824.0,69081.0,141.0,27207475.61,1712.2,15890.36,28379799.95,1878.8,15105.28
6350025,Craneville,Public School,Dalton,MA,"PK,K,01,02,03,04,05",Central Berkshire,6350000,22,64,56,57,64,75,84,0,0,0,0,0,0,0,0,1.7,1.4,15.6,43.8,35.3,0.2,2.1,3.8,89.8,0.0,0.0,4.0,53.6,46.4,17.5,427.0,9712824.0,69081.0,141.0,27207475.61,1712.2,15890.36,28379799.95,1878.8,15105.28
6350035,Kittredge,Public School,Hinsdale,MA,"PK,K,01,02,03,04,05",Central Berkshire,6350000,15,29,17,15,13,24,21,0,0,0,0,0,0,0,0,0.0,0.0,11.2,43.3,37.3,1.5,0.7,3.0,91.8,0.0,0.0,3.0,53.0,47.0,19.0,128.0,9712824.0,69081.0,141.0,27207475.61,1712.2,15890.36,28379799.95,1878.8,15105.28
6350305,Nessacus Regional Middle School,Public School,Dalton,MA,"06,07,08",Central Berkshire,6350000,0,0,0,0,0,0,0,111,134,151,0,0,0,0,0,0.5,0.5,14.9,39.9,31.6,1.0,1.0,2.8,91.2,0.3,0.0,3.8,52.3,47.7,15.3,414.0,9712824.0,69081.0,141.0,27207475.61,1712.2,15890.36,28379799.95,1878.8,15105.28
6350505,Wahconah Regional High,Public School,Dalton,MA,"09,10,11,12",Central Berkshire,6350000,0,0,0,0,0,0,0,0,0,0,125,158,121,139,0,1.5,0.6,10.7,27.8,21.2,1.1,0.7,4.1,92.3,0.0,0.0,1.8,49.4,50.6,15.1,553.0,9712824.0,69081.0,141.0,27207475.61,1712.2,15890.36,28379799.95,1878.8,15105.28
6320025,New Hingham Regional Elementary,Public School,Chesterfield,MA,"PK,K,01,02,03,04,05,06",Chesterfield-Goshen,6320000,15,22,14,19,12,19,19,20,0,0,0,0,0,0,0,0.0,0.0,22.1,42.1,26.4,0.7,0.0,2.9,95.0,1.4,0.0,0.0,48.6,51.4,13.7,157.0,953818.0,61142.0,16.0,2223107.0,152.2,14606.48,2335712.0,166.0,14070.55
4180305,Christa McAuliffe Charter Public School,Charter School,Framingham,MA,"06,07,08",Christa McAuliffe Charter Public (District),4180000,0,0,0,0,0,0,0,143,125,127,0,0,0,0,0,13.2,3.3,23.5,40.3,19.0,5.6,6.1,21.0,60.5,1.0,0.3,5.6,52.4,47.6,18.7,394.0,,,,,,,,,
4370505,City on a Hill Charter Public School Circuit Street,Charter School,Roxbury,MA,"09,10,11,12",City on a Hill Charter Public School Circuit Street (District),4370000,0,0,0,0,0,0,0,0,0,0,111,67,51,50,0,30.5,10.4,22.6,70.3,56.3,65.2,0.0,29.7,2.9,0.4,0.4,1.4,45.2,54.8,12.1,273.0,,,,,,,,,
4380505,Codman Academy Charter Public School,Charter School,Dorchester,MA,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12",Codman Academy Charter Public (District),4380000,20,18,22,21,21,20,19,20,20,23,46,47,30,32,0,14.8,0.0,22.0,65.2,51.8,80.5,0.0,17.5,0.6,0.3,0.6,0.6,49.9,50.1,17.8,316.0,,,,,,,,,
4360305,Community Charter School of Cambridge,Charter School,Cambridge,MA,"06,07,08,09,10,11,12",Community Charter School of Cambridge (District),4360000,0,0,0,0,0,0,0,33,50,57,64,60,57,53,0,24.9,2.4,19.0,49.7,34.8,62.0,3.5,24.3,5.1,1.6,0.3,3.2,47.3,52.7,16.7,403.0,,,,,,,,,
4260205,Community Day Charter Public School - Gateway,Charter School,Lawrence,MA,"PK,K,01,02,03,04,05",Community Day Charter Public School - Gateway (District),4260000,40,42,40,42,38,40,38,0,0,0,0,0,0,0,0,77.5,59.3,9.6,83.6,50.7,0.7,0.7,96.4,2.1,0.0,0.0,0.0,51.4,48.6,20.0,240.0,,,,,,,,,
4400205,Community Day Charter Public School - Prospect,Charter School,Lawrence,MA,"PK,K,01,02,03,04,05,06,07,08",Community Day Charter Public School - Prospect (District),4400000,43,43,50,47,48,44,37,20,22,46,0,0,0,0,0,73.5,40.8,10.5,74.8,48.3,0.5,0.5,95.8,3.3,0.0,0.0,0.0,50.5,49.5,20.9,397.0,,,,,,,,,
4310205,Community Day Charter Public School - R. Kingman Webster,Charter School,Lawrence,MA,"PK,K,01,02,03,04,05",Community Day Charter Public School - R. Kingman Webster (District),4310000,41,42,42,42,42,39,32,0,0,0,0,0,0,0,0,56.4,44.6,8.6,76.4,48.6,1.1,1.1,93.6,4.3,0.0,0.0,0.0,48.9,51.1,20.0,240.0,,,,,,,,,
6400505,Concord Carlisle High,Public School,Concord,MA,"09,10,11,12",Concord-Carlisle,6400000,0,0,0,0,0,0,0,0,0,0,301,334,325,315,1,5.0,0.4,16.5,21.1,5.4,4.3,9.5,4.0,78.5,0.0,0.0,3.7,47.8,52.1,15.3,1284.0,9468759.0,100731.0,94.0,24139660.22,1257.7,19193.5,28109892.72,1306.3,21518.71
4390050,Conservatory Lab Charter School,Charter School,Dorchester,MA,"PK,K,01,02,03,04,05,06,07,08",Conservatory Lab Charter (District),4390000,46,46,50,50,51,50,50,44,41,22,0,0,0,0,0,14.9,10.4,12.0,59.3,42.4,50.9,2.9,32.0,10.4,0.0,0.0,3.8,44.9,55.1,22.7,418.0,,,,,,,,,
6450505,Dennis-Yarmouth Regional High,Public School,South Yarmouth,MA,"08,09,10,11,12",Dennis-Yarmouth,6450000,0,0,0,0,0,0,0,4,0,221,194,201,202,181,0,14.3,4.5,17.4,46.8,34.3,10.0,2.9,10.3,70.2,1.6,0.1,5.0,50.7,49.3,14.7,1025.0,20080993.0,67658.0,297.0,50252128.2,2964.4,16951.87,58026146.56,3517.0,16498.76
6450005,Ezra H Baker Innovation School,Public School,West Dennis,MA,"PK,K,01,02,03",Dennis-Yarmouth,6450000,0,76,91,95,90,1,0,0,0,0,0,0,0,0,0,13.0,12.2,15.9,59.8,48.7,9.9,1.4,9.6,69.4,0.8,0.0,8.8,54.1,45.9,19.5,429.0,20080993.0,67658.0,297.0,50252128.2,2964.4,16951.87,58026146.56,3517.0,16498.76
6450015,Marguerite E Small Elementary,Public School,West Yarmouth,MA,"PK,K,01,02,03",Dennis-Yarmouth,6450000,76,53,63,53,61,0,0,0,0,0,0,0,0,0,0,23.5,14.4,19.3,63.7,45.1,7.5,1.6,17.6,59.2,4.9,0.3,8.8,59.5,40.5,18.8,342.0,20080993.0,67658.0,297.0,50252128.2,2964.4,16951.87,58026146.56,3517.0,16498.76
6450305,Mattacheese Middle School,Public School,West Yarmouth,MA,"06,07",Dennis-Yarmouth,6450000,0,0,0,0,0,0,0,194,229,0,0,0,0,0,0,13.0,6.6,19.9,53.2,41.6,10.2,1.9,8.5,73.5,2.1,0.0,3.8,51.5,48.5,14.6,458.0,20080993.0,67658.0,297.0,50252128.2,2964.4,16951.87,58026146.56,3517.0,16498.76
6450050,N H Wixon Innovation School,Public School,South Dennis,MA,"04,05",Dennis-Yarmouth,6450000,0,0,0,0,0,272,242,0,0,0,0,0,0,0,0,17.9,8.4,20.4,57.2,40.9,7.4,2.9,11.5,70.6,2.3,0.0,5.3,49.4,50.6,22.4,508.0,20080993.0,67658.0,297.0,50252128.2,2964.4,16951.87,58026146.56,3517.0,16498.76
6450025,Station Avenue Elementary,Public School,South Yarmouth,MA,"K,01,02,03",Dennis-Yarmouth,6450000,0,101,109,106,109,0,0,0,0,0,0,0,0,0,0,15.5,10.8,10.1,47.3,37.4,6.6,1.6,5.9,74.8,2.8,0.2,8.0,51.3,48.7,20.5,472.0,20080993.0,67658.0,297.0,50252128.2,2964.4,16951.87,58026146.56,3517.0,16498.76
6500005,Dighton Elementary,Public School,Dighton,MA,"K,01,02,03,04",Dighton-Rehoboth,6500000,0,81,80,79,100,80,0,0,0,0,0,0,0,0,0,0.0,0.0,12.9,23.6,15.2,0.2,1.4,6.2,87.6,0.0,0.0,4.5,49.8,50.2,19.3,444.0,14914223.0,67485.0,221.0,36077251.89,2899.7,12441.72,39284546.89,2950.2,13315.89
6500305,Dighton Middle School,Public School,Dighton,MA,"05,06,07,08",Dighton-Rehoboth,6500000,0,0,0,0,0,0,99,94,84,119,0,0,0,0,0,0.3,0.0,11.6,23.2,13.4,1.0,0.8,3.8,91.4,0.0,0.0,3.0,54.8,45.2,18.6,387.0,14914223.0,67485.0,221.0,36077251.89,2899.7,12441.72,39284546.89,2950.2,13315.89
6500505,Dighton-Rehoboth Regional High School,Public School,North Dighton,MA,"PK,09,10,11,12",Dighton-Rehoboth,6500000,84,0,0,0,0,0,0,0,0,0,191,219,207,227,0,1.2,0.0,13.0,23.0,14.0,1.0,1.1,4.3,91.6,0.0,0.0,2.0,55.6,44.4,16.9,924.0,14914223.0,67485.0,221.0,36077251.89,2899.7,12441.72,39284546.89,2950.2,13315.89
6500310,Dorothy L Beckwith,Public School,Rehoboth,MA,"05,06,07,08",Dighton-Rehoboth,6500000,0,0,0,0,0,0,148,146,145,136,0,0,0,0,0,1.2,0.2,15.3,25.9,13.9,0.5,0.9,4.0,91.8,0.2,0.0,2.6,50.4,49.6,18.6,580.0,14914223.0,67485.0,221.0,36077251.89,2899.7,12441.72,39284546.89,2950.2,13315.89
6500010,Palmer River,Public School,Rehoboth,MA,"K,01,02,03,04",Dighton-Rehoboth,6500000,0,92,111,102,128,131,0,0,0,0,0,0,0,0,0,1.2,0.5,6.7,18.1,12.2,1.2,1.8,3.9,89.9,0.4,0.0,2.8,48.6,51.4,20.3,591.0,14914223.0,67485.0,221.0,36077251.89,2899.7,12441.72,39284546.89,2950.2,13315.89
6550505,Dover-Sherborn Regional High,Public School,Dover,MA,"09,10,11,12",Dover-Sherborn,6550000,0,0,0,0,0,0,0,0,0,0,173,154,167,158,0,2.1,0.5,11.7,14.6,3.4,2.3,6.1,2.6,85.7,0.0,0.0,3.2,48.6,51.4,12.9,663.0,9763574.0,94698.0,103.0,21603572.0,1169.6,18470.91,22519127.0,1206.0,18672.58
6550405,Dover-Sherborn Regional Middle School,Public School,Dover,MA,"06,07,08",Dover-Sherborn,6550000,0,0,0,0,0,0,0,172,174,177,0,0,0,0,0,4.8,0.6,12.8,15.7,3.1,3.1,8.6,2.7,81.3,0.4,0.0,4.0,50.7,49.3,17.7,528.0,9763574.0,94698.0,103.0,21603572.0,1169.6,18470.91,22519127.0,1206.0,18672.58
4070405,Dudley Street Neighborhood Charter School,Charter School,Boston,MA,"PK,K,01,02,03,04,05",Dudley Street Neighborhood Charter School (District),4070000,41,44,43,44,44,44,32,0,0,0,0,0,0,0,0,35.3,17.8,11.3,68.2,50.0,61.0,0.0,36.6,1.4,0.7,0.0,0.3,45.2,54.8,20.5,265.0,,,,,,,,,
6580020,Charlton Elementary,Public School,Charlton,MA,"PK,K,01",Dudley-Charlton Reg,6580000,66,147,135,0,0,0,0,0,0,0,0,0,0,0,0,5.7,5.5,18.4,34.2,18.7,0.6,1.1,8.3,86.2,0.0,0.0,3.7,57.2,42.8,20.8,358.0,18285518.0,66931.0,273.0,43514694.25,4000.0,10878.67,47410853.46,4092.5,11584.81
6580310,Charlton Middle School,Public School,Charlton,MA,"05,06,07,08",Dudley-Charlton Reg,6580000,0,0,0,0,0,0,148,175,176,205,0,0,0,0,0,3.6,0.1,11.6,22.7,14.8,0.6,1.0,6.0,90.5,0.0,0.1,1.8,51.0,49.0,18.8,740.0,18285518.0,66931.0,273.0,43514694.25,4000.0,10878.67,47410853.46,4092.5,11584.81
6580005,Dudley Elementary,Public School,Dudley,MA,"02,03,04",Dudley-Charlton Reg,6580000,0,0,0,129,127,117,0,0,0,0,0,0,0,0,0,10.2,3.2,12.3,35.9,24.9,2.7,0.3,8.3,86.1,0.0,0.0,2.7,52.3,47.7,21.4,361.0,18285518.0,66931.0,273.0,43514694.25,4000.0,10878.67,47410853.46,4092.5,11584.81
6580305,Dudley Middle School,Public School,Dudley,MA,"05,06,07,08",Dudley-Charlton Reg,6580000,0,0,0,0,0,0,142,147,166,162,0,0,0,0,0,10.4,1.1,14.4,30.3,20.1,1.8,1.9,8.8,85.3,0.0,0.0,2.3,48.6,51.4,17.9,644.0,18285518.0,66931.0,273.0,43514694.25,4000.0,10878.67,47410853.46,4092.5,11584.81
6580030,Heritage School,Public School,Charlton,MA,"02,03,04",Dudley-Charlton Reg,6580000,0,0,0,154,176,166,0,0,0,0,0,0,0,0,0,8.3,2.2,13.3,31.3,18.1,1.0,1.0,8.7,86.5,0.0,0.2,2.6,54.2,45.8,20.0,481.0,18285518.0,66931.0,273.0,43514694.25,4000.0,10878.67,47410853.46,4092.5,11584.81
6580010,Mason Road School,Public School,Dudley,MA,"PK,K,01",Dudley-Charlton Reg,6580000,44,95,120,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.6,18.1,43.6,29.7,2.7,0.0,13.1,82.2,0.4,0.0,1.5,49.4,50.6,22.3,283.0,18285518.0,66931.0,273.0,43514694.25,4000.0,10878.67,47410853.46,4092.5,11584.81
6580505,Shepherd Hill Regional High,Public School,Dudley,MA,"09,10,11,12",Dudley-Charlton Reg,6580000,0,0,0,0,0,0,0,0,0,0,293,269,303,300,1,5.5,0.7,10.4,24.0,17.2,1.7,2.2,6.7,87.0,0.3,0.2,1.8,48.2,51.8,19.2,1176.0,18285518.0,66931.0,273.0,43514694.25,4000.0,10878.67,47410853.46,4092.5,11584.81
4520505,Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),Charter School,Boston,MA,"09,10,11,12",Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,0,0,0,0,0,0,0,0,0,0,105,88,79,87,0,50.7,13.6,16.4,68.0,54.0,44.6,1.9,46.8,4.5,0.0,0.0,2.2,34.3,65.7,17.1,337.0,,,,,,,,,
8170505,Essex Technical High School,Public School,Hathorne,MA,"09,10,11,12",Essex North Shore Agricultural and Technical School District,8170000,0,0,0,0,0,0,0,0,0,0,360,349,338,260,0,6.8,0.3,21.2,38.3,21.0,1.3,1.5,12.3,81.6,0.1,0.1,3.1,43.0,57.0,16.1,1201.0,7422232.0,68534.0,108.0,23825490.3,1097.0,21718.77,23917764.3,1114.0,21470.17
